state,county_fips,county_name,year,median_household_income,income_source
FL,12087,Monroe County,2019,70033,ACS 2019 5-year B19013
FL,12087,Monroe County,2020,72012,ACS 2020 5-year B19013
FL,12087,Monroe County,2021,73153,ACS 2021 5-year B19013
FL,12087,Monroe County,2022,80111,ACS 2022 5-year B19013
FL,12087,Monroe County,2023,82430,ACS 2023 5-year B19013
FL,12087,Monroe County,2024,87738,ACS 2024 5-year B19013
FL,12089,Nassau County,2015,54116,ACS 2015 5-year B19013
FL,12089,Nassau County,2016,59196,ACS 2016 5-year B19013
FL,12089,Nassau County,2017,64294,ACS 2017 5-year B19013
FL,12089,Nassau County,2018,66297,ACS 2018 5-year B19013
FL,12089,Nassau County,2019,69943,ACS 2019 5-year B19013
FL,12089,Nassau County,2020,72998,ACS 2020 5-year B19013
FL,12089,Nassau County,2021,77504,ACS 2021 5-year B19013
FL,12089,Nassau County,2022,84085,ACS 2022 5-year B19013
FL,12089,Nassau County,2023,88900,ACS 2023 5-year B19013
FL,12089,Nassau County,2024,89804,ACS 2024 5-year B19013
FL,12091,Okaloosa County,2015,55880,ACS 2015 5-year B19013
FL,12091,Okaloosa County,2016,57655,ACS 2016 5-year B19013
FL,12091,Okaloosa County,2017,59955,ACS 2017 5-year B19013
FL,12091,Okaloosa County,2018,62048,ACS 2018 5-year B19013
FL,12091,Okaloosa County,2019,63412,ACS 2019 5-year B19013
FL,12091,Okaloosa County,2020,64373,ACS 2020 5-year B19013
FL,12091,Okaloosa County,2021,67390,ACS 2021 5-year B19013
FL,12091,Okaloosa County,2022,73988,ACS 2022 5-year B19013
FL,12091,Okaloosa County,2023,79097,ACS 2023 5-year B19013
FL,12091,Okaloosa County,2024,81998,ACS 2024 5-year B19013
FL,12093,Okeechobee County,2015,35405,ACS 2015 5-year B19013
FL,12093,Okeechobee County,2016,36415,ACS 2016 5-year B19013
FL,12093,Okeechobee County,2017,39059,ACS 2017 5-year B19013
FL,12093,Okeechobee County,2018,40367,ACS 2018 5-year B19013
FL,12093,Okeechobee County,2019,41760,ACS 2019 5-year B19013
FL,12093,Okeechobee County,2020,46097,ACS 2020 5-year B19013
FL,12093,Okeechobee County,2021,47020,ACS 2021 5-year B19013
FL,12093,Okeechobee County,2022,50476,ACS 2022 5-year B19013
FL,12093,Okeechobee County,2023,52288,ACS 2023 5-year B19013
FL,12093,Okeechobee County,2024,57984,ACS 2024 5-year B19013
FL,12095,Orange County,2015,47943,ACS 2015 5-year B19013
FL,12095,Orange County,2016,49391,ACS 2016 5-year B19013
FL,12095,Orange County,2017,51586,ACS 2017 5-year B19013
FL,12095,Orange County,2018,54335,ACS 2018 5-year B19013
FL,12095,Orange County,2019,58254,ACS 2019 5-year B19013
FL,12095,Orange County,2020,61416,ACS 2020 5-year B19013
FL,12095,Orange County,2021,65784,ACS 2021 5-year B19013
FL,12095,Orange County,2022,72629,ACS 2022 5-year B19013
FL,12095,Orange County,2023,77011,ACS 2023 5-year B19013
FL,12095,Orange County,2024,79719,ACS 2024 5-year B19013
FL,12097,Osceola County,2015,44254,ACS 2015 5-year B19013
FL,12097,Osceola County,2016,45536,ACS 2016 5-year B19013
FL,12097,Osceola County,2017,47343,ACS 2017 5-year B19013
FL,12097,Osceola County,2018,50063,ACS 2018 5-year B19013
FL,12097,Osceola County,2019,52279,ACS 2019 5-year B19013
FL,12097,Osceola County,2020,55538,ACS 2020 5-year B19013
FL,12097,Osceola County,2021,58513,ACS 2021 5-year B19013
FL,12097,Osceola County,2022,64312,ACS 2022 5-year B19013
FL,12097,Osceola County,2023,68711,ACS 2023 5-year B19013
FL,12097,Osceola County,2024,72637,ACS 2024 5-year B19013
FL,12099,Palm Beach County,2015,53363,ACS 2015 5-year B19013
FL,12099,Palm Beach County,2016,55277,ACS 2016 5-year B19013
FL,12099,Palm Beach County,2017,57256,ACS 2017 5-year B19013
FL,12099,Palm Beach County,2018,59943,ACS 2018 5-year B19013
FL,12099,Palm Beach County,2019,63299,ACS 2019 5-year B19013
FL,12099,Palm Beach County,2020,65015,ACS 2020 5-year B19013
FL,12099,Palm Beach County,2021,68874,ACS 2021 5-year B19013
FL,12099,Palm Beach County,2022,76066,ACS 2022 5-year B19013
FL,12099,Palm Beach County,2023,81115,ACS 2023 5-year B19013
FL,12099,Palm Beach County,2024,83581,ACS 2024 5-year B19013
FL,12101,Pasco County,2015,45064,ACS 2015 5-year B19013
FL,12101,Pasco County,2016,46010,ACS 2016 5-year B19013
FL,12101,Pasco County,2017,48289,ACS 2017 5-year B19013
FL,12101,Pasco County,2018,50417,ACS 2018 5-year B19013
FL,12101,Pasco County,2019,52828,ACS 2019 5-year B19013
FL,12101,Pasco County,2020,53431,ACS 2020 5-year B19013
FL,12101,Pasco County,2021,58084,ACS 2021 5-year B19013
FL,12101,Pasco County,2022,63187,ACS 2022 5-year B19013
FL,12101,Pasco County,2023,67384,ACS 2023 5-year B19013
FL,12101,Pasco County,2024,70492,ACS 2024 5-year B19013
FL,12103,Pinellas County,2015,45819,ACS 2015 5-year B19013
FL,12103,Pinellas County,2016,47090,ACS 2016 5-year B19013
FL,12103,Pinellas County,2017,48968,ACS 2017 5-year B19013
FL,12103,Pinellas County,2018,51454,ACS 2018 5-year B19013
FL,12103,Pinellas County,2019,54090,ACS 2019 5-year B19013
FL,12103,Pinellas County,2020,56419,ACS 2020 5-year B19013
FL,12103,Pinellas County,2021,60451,ACS 2021 5-year B19013
FL,12103,Pinellas County,2022,66406,ACS 2022 5-year B19013
FL,12103,Pinellas County,2023,70293,ACS 2023 5-year B19013
FL,12103,Pinellas County,2024,72646,ACS 2024 5-year B19013
FL,12105,Polk County,2015,43162,ACS 2015 5-year B19013
FL,12105,Polk County,2016,44146,ACS 2016 5-year B19013
FL,12105,Polk County,2017,45988,ACS 2017 5-year B19013
FL,12105,Polk County,2018,48500,ACS 2018 5-year B19013
FL,12105,Polk County,2019,50584,ACS 2019 5-year B19013
FL,12105,Polk County,2020,51535,ACS 2020 5-year B19013
FL,12105,Polk County,2021,55099,ACS 2021 5-year B19013
FL,12105,Polk County,2022,60901,ACS 2022 5-year B19013
FL,12105,Polk County,2023,63644,ACS 2023 5-year B19013
FL,12105,Polk County,2024,65978,ACS 2024 5-year B19013
FL,12107,Putnam County,2015,31715,ACS 2015 5-year B19013
FL,12107,Putnam County,2016,33003,ACS 2016 5-year B19013
FL,12107,Putnam County,2017,33619,ACS 2017 5-year B19013
FL,12107,Putnam County,2018,35649,ACS 2018 5-year B19013
FL,12107,Putnam County,2019,37670,ACS 2019 5-year B19013
FL,12107,Putnam County,2020,40068,ACS 2020 5-year B19013
FL,12107,Putnam County,2021,39975,ACS 2021 5-year B19013
FL,12107,Putnam County,2022,44852,ACS 2022 5-year B19013
FL,12107,Putnam County,2023,47256,ACS 2023 5-year B19013
FL,12107,Putnam County,2024,47934,ACS 2024 5-year B19013
FL,12109,St. Johns County,2015,66194,ACS 2015 5-year B19013
FL,12109,St. Johns County,2016,69523,ACS 2016 5-year B19013
FL,12109,St. Johns County,2017,73640,ACS 2017 5-year B19013
FL,12109,St. Johns County,2018,77323,ACS 2018 5-year B19013
FL,12109,St. Johns County,2019,82252,ACS 2019 5-year B19013
FL,12109,St. Johns County,2020,83803,ACS 2020 5-year B19013
FL,12109,St. Johns County,2021,88794,ACS 2021 5-year B19013
FL,12109,St. Johns County,2022,100020,ACS 2022 5-year B19013
FL,12109,St. Johns County,2023,106169,ACS 2023 5-year B19013
FL,12109,St. Johns County,2024,109839,ACS 2024 5-year B19013
FL,12111,St. Lucie County,2015,43459,ACS 2015 5-year B19013
FL,12111,St. Lucie County,2016,44140,ACS 2016 5-year B19013
FL,12111,St. Lucie County,2017,47132,ACS 2017 5-year B19013
FL,12111,St. Lucie County,2018,49373,ACS 2018 5-year B19013
FL,12111,St. Lucie County,2019,52322,ACS 2019 5-year B19013
FL,12111,St. Lucie County,2020,55237,ACS 2020 5-year B19013
FL,12111,St. Lucie County,2021,59807,ACS 2021 5-year B19013
FL,12111,St. Lucie County,2022,66154,ACS 2022 5-year B19013
FL,12111,St. Lucie County,2023,69027,ACS 2023 5-year B19013
FL,12111,St. Lucie County,2024,71457,ACS 2024 5-year B19013
FL,12113,Santa Rosa County,2015,58923,ACS 2015 5-year B19013
FL,12113,Santa Rosa County,2016,60652,ACS 2016 5-year B19013
FL,12113,Santa Rosa County,2017,62731,ACS 2017 5-year B19013
FL,12113,Santa Rosa County,2018,66242,ACS 2018 5-year B19013
FL,12113,Santa Rosa County,2019,67949,ACS 2019 5-year B19013
FL,12113,Santa Rosa County,2020,70663,ACS 2020 5-year B19013
FL,12113,Santa Rosa County,2021,77260,ACS 2021 5-year B19013
FL,12113,Santa Rosa County,2022,84715,ACS 2022 5-year B19013
FL,12113,Santa Rosa County,2023,88968,ACS 2023 5-year B19013
FL,12113,Santa Rosa County,2024,91922,ACS 2024 5-year B19013
FL,12115,Sarasota County,2015,51766,ACS 2015 5-year B19013
FL,12115,Sarasota County,2016,52796,ACS 2016 5-year B19013
FL,12115,Sarasota County,2017,55236,ACS 2017 5-year B19013
FL,12115,Sarasota County,2018,58644,ACS 2018 5-year B19013
FL,12115,Sarasota County,2019,62236,ACS 2019 5-year B19013
FL,12115,Sarasota County,2020,64644,ACS 2020 5-year B19013
FL,12115,Sarasota County,2021,69490,ACS 2021 5-year B19013
FL,12115,Sarasota County,2022,77213,ACS 2022 5-year B19013
FL,12115,Sarasota County,2023,80633,ACS 2023 5-year B19013
FL,12115,Sarasota County,2024,83416,ACS 2024 5-year B19013
FL,12117,Seminole County,2015,57010,ACS 2015 5-year B19013
FL,12117,Seminole County,2016,58538,ACS 2016 5-year B19013
FL,12117,Seminole County,2017,60739,ACS 2017 5-year B19013
FL,12117,Seminole County,2018,63760,ACS 2018 5-year B19013
FL,12117,Seminole County,2019,66768,ACS 2019 5-year B19013
FL,12117,Seminole County,2020,70297,ACS 2020 5-year B19013
FL,12117,Seminole County,2021,73002,ACS 2021 5-year B19013
FL,12117,Seminole County,2022,79490,ACS 2022 5-year B19013
FL,12117,Seminole County,2023,83030,ACS 2023 5-year B19013
FL,12117,Seminole County,2024,85761,ACS 2024 5-year B19013
FL,12119,Sumter County,2015,50350,ACS 2015 5-year B19013
FL,12119,Sumter County,2016,52594,ACS 2016 5-year B19013
FL,12119,Sumter County,2017,54771,ACS 2017 5-year B19013
FL,12119,Sumter County,2018,55228,ACS 2018 5-year B19013
FL,12119,Sumter County,2019,57226,ACS 2019 5-year B19013
FL,12119,Sumter County,2020,59618,ACS 2020 5-year B19013
FL,12119,Sumter County,2021,63323,ACS 2021 5-year B19013
FL,12119,Sumter County,2022,70105,ACS 2022 5-year B19013
FL,12119,Sumter County,2023,73297,ACS 2023 5-year B19013
FL,12119,Sumter County,2024,76508,ACS 2024 5-year B19013
FL,12121,Suwannee County,2015,36289,ACS 2015 5-year B19013
FL,12121,Suwannee County,2016,37796,ACS 2016 5-year B19013
FL,12121,Suwannee County,2017,40600,ACS 2017 5-year B19013
FL,12121,Suwannee County,2018,42686,ACS 2018 5-year B19013
FL,12121,Suwannee County,2019,47839,ACS 2019 5-year B19013
FL,12121,Suwannee County,2020,46280,ACS 2020 5-year B19013
FL,12121,Suwannee County,2021,47218,ACS 2021 5-year B19013
FL,12121,Suwannee County,2022,49729,ACS 2022 5-year B19013
FL,12121,Suwannee County,2023,55479,ACS 2023 5-year B19013
FL,12121,Suwannee County,2024,56658,ACS 2024 5-year B19013
FL,12123,Taylor County,2015,36181,ACS 2015 5-year B19013
FL,12123,Taylor County,2016,36195,ACS 2016 5-year B19013
FL,12123,Taylor County,2017,37188,ACS 2017 5-year B19013
FL,12123,Taylor County,2018,36934,ACS 2018 5-year B19013
FL,12123,Taylor County,2019,40306,ACS 2019 5-year B19013
FL,12123,Taylor County,2020,38295,ACS 2020 5-year B19013
FL,12123,Taylor County,2021,43563,ACS 2021 5-year B19013
FL,12123,Taylor County,2022,46239,ACS 2022 5-year B19013
FL,12123,Taylor County,2023,44985,ACS 2023 5-year B19013
FL,12123,Taylor County,2024,49073,ACS 2024 5-year B19013
FL,12125,Union County,2015,39163,ACS 2015 5-year B19013
FL,12125,Union County,2016,37778,ACS 2016 5-year B19013
FL,12125,Union County,2017,37460,ACS 2017 5-year B19013
FL,12125,Union County,2018,41770,ACS 2018 5-year B19013
FL,12125,Union County,2019,44270,ACS 2019 5-year B19013
FL,12125,Union County,2020,55139,ACS 2020 5-year B19013
FL,12125,Union County,2021,55463,ACS 2021 5-year B19013
FL,12125,Union County,2022,64043,ACS 2022 5-year B19013
FL,12125,Union County,2023,64922,ACS 2023 5-year B19013
FL,12125,Union County,2024,64146,ACS 2024 5-year B19013
FL,12127,Volusia County,2015,41117,ACS 2015 5-year B19013
FL,12127,Volusia County,2016,42240,ACS 2016 5-year B19013
FL,12127,Volusia County,2017,43838,ACS 2017 5-year B19013
FL,12127,Volusia County,2018,46760,ACS 2018 5-year B19013
FL,12127,Volusia County,2019,49494,ACS 2019 5-year B19013
FL,12127,Volusia County,2020,52407,ACS 2020 5-year B19013
FL,12127,Volusia County,2021,56786,ACS 2021 5-year B19013
FL,12127,Volusia County,2022,63075,ACS 2022 5-year B19013
FL,12127,Volusia County,2023,66581,ACS 2023 5-year B19013
FL,12127,Volusia County,2024,70044,ACS 2024 5-year B19013
FL,12129,Wakulla County,2015,50340,ACS 2015 5-year B19013
FL,12129,Wakulla County,2016,54078,ACS 2016 5-year B19013
FL,12129,Wakulla County,2017,57866,ACS 2017 5-year B19013
FL,12129,Wakulla County,2018,62778,ACS 2018 5-year B19013
FL,12129,Wakulla County,2019,61410,ACS 2019 5-year B19013
FL,12129,Wakulla County,2020,67480,ACS 2020 5-year B19013
FL,12129,Wakulla County,2021,72941,ACS 2021 5-year B19013
FL,12129,Wakulla County,2022,72035,ACS 2022 5-year B19013
FL,12129,Wakulla County,2023,74183,ACS 2023 5-year B19013
FL,12129,Wakulla County,2024,81895,ACS 2024 5-year B19013
FL,12131,Walton County,2015,44966,ACS 2015 5-year B19013
FL,12131,Walton County,2016,46910,ACS 2016 5-year B19013
FL,12131,Walton County,2017,50619,ACS 2017 5-year B19013
FL,12131,Walton County,2018,53785,ACS 2018 5-year B19013
FL,12131,Walton County,2019,58093,ACS 2019 5-year B19013
FL,12131,Walton County,2020,67390,ACS 2020 5-year B19013
FL,12131,Walton County,2021,68111,ACS 2021 5-year B19013
FL,12131,Walton County,2022,74832,ACS 2022 5-year B19013
FL,12131,Walton County,2023,79281,ACS 2023 5-year B19013
FL,12131,Walton County,2024,81986,ACS 2024 5-year B19013
FL,12133,Washington County,2015,38970,ACS 2015 5-year B19013
FL,12133,Washington County,2016,38330,ACS 2016 5-year B19013
FL,12133,Washington County,2017,36989,ACS 2017 5-year B19013
FL,12133,Washington County,2018,37188,ACS 2018 5-year B19013
FL,12133,Washington County,2019,37022,ACS 2019 5-year B19013
FL,12133,Washington County,2020,37260,ACS 2020 5-year B19013
FL,12133,Washington County,2021,41806,ACS 2021 5-year B19013
FL,12133,Washington County,2022,47536,ACS 2022 5-year B19013
FL,12133,Washington County,2023,52723,ACS 2023 5-year B19013
FL,12133,Washington County,2024,58210,ACS 2024 5-year B19013
