state,county_fips,county_name,year,median_household_income,income_source
FL,12019,Clay County,2024,87820,ACS 2024 5-year B19013
FL,12021,Collier County,2015,57452,ACS 2015 5-year B19013
FL,12021,Collier County,2016,59783,ACS 2016 5-year B19013
FL,12021,Collier County,2017,62407,ACS 2017 5-year B19013
FL,12021,Collier County,2018,65675,ACS 2018 5-year B19013
FL,12021,Collier County,2019,69653,ACS 2019 5-year B19013
FL,12021,Collier County,2020,70217,ACS 2020 5-year B19013
FL,12021,Collier County,2021,75543,ACS 2021 5-year B19013
FL,12021,Collier County,2022,82011,ACS 2022 5-year B19013
FL,12021,Collier County,2023,86173,ACS 2023 5-year B19013
FL,12021,Collier County,2024,90045,ACS 2024 5-year B19013
FL,12023,Columbia County,2015,41926,ACS 2015 5-year B19013
FL,12023,Columbia County,2016,42848,ACS 2016 5-year B19013
FL,12023,Columbia County,2017,43504,ACS 2017 5-year B19013
FL,12023,Columbia County,2018,44491,ACS 2018 5-year B19013
FL,12023,Columbia County,2019,46494,ACS 2019 5-year B19013
FL,12023,Columbia County,2020,44818,ACS 2020 5-year B19013
FL,12023,Columbia County,2021,47750,ACS 2021 5-year B19013
FL,12023,Columbia County,2022,53501,ACS 2022 5-year B19013
FL,12023,Columbia County,2023,55070,ACS 2023 5-year B19013
FL,12023,Columbia County,2024,59205,ACS 2024 5-year B19013
FL,12027,DeSoto County,2015,35165,ACS 2015 5-year B19013
FL,12027,DeSoto County,2016,35513,ACS 2016 5-year B19013
FL,12027,DeSoto County,2017,35435,ACS 2017 5-year B19013
FL,12027,DeSoto County,2018,35057,ACS 2018 5-year B19013
FL,12027,DeSoto County,2019,35438,ACS 2019 5-year B19013
FL,12027,DeSoto County,2020,36360,ACS 2020 5-year B19013
FL,12027,DeSoto County,2021,39945,ACS 2021 5-year B19013
FL,12027,DeSoto County,2022,45000,ACS 2022 5-year B19013
FL,12027,DeSoto County,2023,50868,ACS 2023 5-year B19013
FL,12027,DeSoto County,2024,54417,ACS 2024 5-year B19013
FL,12029,Dixie County,2015,36292,ACS 2015 5-year B19013
FL,12029,Dixie County,2016,34634,ACS 2016 5-year B19013
FL,12029,Dixie County,2017,35910,ACS 2017 5-year B19013
FL,12029,Dixie County,2018,38237,ACS 2018 5-year B19013
FL,12029,Dixie County,2019,39828,ACS 2019 5-year B19013
FL,12029,Dixie County,2020,41674,ACS 2020 5-year B19013
FL,12029,Dixie County,2021,44287,ACS 2021 5-year B19013
FL,12029,Dixie County,2022,45057,ACS 2022 5-year B19013
FL,12029,Dixie County,2023,47655,ACS 2023 5-year B19013
FL,12029,Dixie County,2024,50110,ACS 2024 5-year B19013
FL,12031,Duval County,2015,47690,ACS 2015 5-year B19013
FL,12031,Duval County,2016,49196,ACS 2016 5-year B19013
FL,12031,Duval County,2017,51296,ACS 2017 5-year B19013
FL,12031,Duval County,2018,53473,ACS 2018 5-year B19013
FL,12031,Duval County,2019,55807,ACS 2019 5-year B19013
FL,12031,Duval County,2020,56769,ACS 2020 5-year B19013
FL,12031,Duval County,2021,59541,ACS 2021 5-year B19013
FL,12031,Duval County,2022,65579,ACS 2022 5-year B19013
FL,12031,Duval County,2023,68447,ACS 2023 5-year B19013
FL,12031,Duval County,2024,71277,ACS 2024 5-year B19013
FL,12033,Escambia County,2015,45390,ACS 2015 5-year B19013
FL,12033,Escambia County,2016,46117,ACS 2016 5-year B19013
FL,12033,Escambia County,2017,47361,ACS 2017 5-year B19013
FL,12033,Escambia County,2018,49286,ACS 2018 5-year B19013
FL,12033,Escambia County,2019,50915,ACS 2019 5-year B19013
FL,12033,Escambia County,2020,53023,ACS 2020 5-year B19013
FL,12033,Escambia County,2021,56605,ACS 2021 5-year B19013
FL,12033,Escambia County,2022,61642,ACS 2022 5-year B19013
FL,12033,Escambia County,2023,65715,ACS 2023 5-year B19013
FL,12033,Escambia County,2024,67500,ACS 2024 5-year B19013
FL,12035,Flagler County,2015,47866,ACS 2015 5-year B19013
FL,12035,Flagler County,2016,48898,ACS 2016 5-year B19013
FL,12035,Flagler County,2017,51049,ACS 2017 5-year B19013
FL,12035,Flagler County,2018,53872,ACS 2018 5-year B19013
FL,12035,Flagler County,2019,54514,ACS 2019 5-year B19013
FL,12035,Flagler County,2020,57536,ACS 2020 5-year B19013
FL,12035,Flagler County,2021,62305,ACS 2021 5-year B19013
FL,12035,Flagler County,2022,69251,ACS 2022 5-year B19013
FL,12035,Flagler County,2023,72923,ACS 2023 5-year B19013
FL,12035,Flagler County,2024,77363,ACS 2024 5-year B19013
